Player,DAL at TEN,MIA at NE,CLE at WAS,ARI at ATL,JAX at HOU,IND at NYG,DEN at KC,CAR at TB,CHI at DET,NO at PHI,SF at LV,NYJ at SEA,MIN at GB,LAR at LAC,PIT at BAL
Winner,DAL,NE,CLE,ATL,JAX,NYG,KC,TB,DET,NO,SF,SEA,GB,LAC,PIT
Away Team,DAL,MIA,CLE,ARI,JAX,IND,DEN,CAR,CHI,NO,SF,NYJ,MIN,LAR,PIT
Home Team,TEN,NE,WAS,ATL,HOU,NYG,KC,TB,DET,PHI,LV,SEA,GB,LAC,BAL
Spread,10.5,-3,-2,-3.5,4.5,-6,-12.5,-3,-6,-6.5,10,1.5,-3,-6.5,-2.5
abfarias,TEN,NE,WAS,ATL,HOU,NYG,KC,TB,DET,PHI,LV,SEA,GB,LAC,BAL
,2,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Bob Z,TEN,NE,WAS,ATL,HOU,NYG,KC,TB,DET,PHI,LV,SEA,GB,LAC,BAL
,2,16,15,14,13,12,11,10,9,8,7,6,5,4,3
Ellieisawesome1,DAL,NE,WAS,ATL,JAX,NYG,KC,CAR,DET,PHI,SF,NYJ,GB,LAC,BAL
,14,5,10,6,9,11,16,2,12,15,13,8,3,7,4
JJapcon,DAL,MIA,WAS,ARI,JAX,NYG,KC,TB,DET,PHI,SF,NYJ,GB,LAC,PIT
,13,9,7,2,11,10,16,8,6,14,15,3,4,12,5
Kathy Zwartz,TEN,MIA,CLE,ARI,JAX,NYG,KC,TB,CHI,PHI,SF,NYJ,MIN,LAC,BAL
,2,7,5,6,11,13,15,9,3,16,14,10,4,12,8
Ken,DAL,MIA,WAS,ATL,JAX,NYG,KC,TB,DET,PHI,SF,SEA,MIN,LAC,BAL
,9,11,2,12,8,4,13,3,10,15,16,5,7,14,6
Lindsey,DAL,NE,WAS,ATL,JAX,NYG,KC,CAR,DET,PHI,SF,NYJ,MIN,LAC,BAL
,16,3,5,8,12,13,15,2,9,10,14,4,7,11,6
Lizzy_Z,TEN,MIA,CLE,ATL,JAX,NYG,KC,CAR,CHI,PHI,LV,SEA,MIN,LAC,BAL
,2,9,10,12,11,8,7,16,6,15,14,5,13,4,3
Matt McKenna,TEN,MIA,WAS,ARI,JAX,NYG,KC,TB,CHI,PHI,SF,SEA,MIN,LAC,BAL
,2,4,6,5,11,10,12,7,8,16,13,3,14,9,15
MattWojtanek,DAL,MIA,WAS,ARI,JAX,NYG,KC,CAR,DET,PHI,SF,SEA,GB,LAR,BAL
,16,11,10,8,14,9,15,5,7,12,13,6,3,4,2
Michael Zwartz,DAL,NE,WAS,ATL,JAX,NYG,KC,CAR,DET,PHI,SF,SEA,GB,LAC,PIT
,15,9,4,6,10,8,16,5,13,14,12,7,3,11,2
PBW,DAL,NE,WAS,ATL,JAX,NYG,KC,TB,DET,PHI,SF,NYJ,MIN,LAC,BAL
,15,5,3,4,9,10,16,2,8,14,12,6,7,13,11
Shaner,TEN,NE,WAS,ATL,HOU,NYG,KC,TB,DET,PHI,LV,SEA,GB,LAC,BAL
,2,16,15,14,13,12,11,10,9,8,7,6,5,4,3
TAZ,TEN,MIA,WAS,ATL,JAX,NYG,KC,TB,CHI,PHI,SF,SEA,MIN,LAC,BAL
,10,9,5,7,13,12,16,6,2,15,14,11,8,4,3
taz7611,TEN,MIA,WAS,ATL,JAX,NYG,KC,TB,DET,PHI,SF,SEA,MIN,LAC,BAL
,2,3,4,5,6,16,14,7,15,13,12,8,11,10,9
Team Boylan,DAL,NE,WAS,ATL,HOU,NYG,KC,TB,DET,PHI,LV,SEA,GB,LAC,BAL
,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2
UrBoiJZ,DAL,NE,WAS,ATL,HOU,NYG,KC,TB,DET,PHI,LV,SEA,GB,LAC,BAL
,8,16,15,14,13,12,11,10,9,7,6,5,4,3,2
Wild Bill,DAL,MIA,WAS,ATL,JAX,NYG,KC,TB,CHI,PHI,SF,SEA,MIN,LAC,BAL
,14,13,12,11,10,9,16,8,2,15,7,6,5,4,3
Zapp,TEN,NE,WAS,ATL,JAX,NYG,KC,TB,DET,PHI,SF,SEA,GB,LAC,BAL
,2,7,6,4,11,12,16,5,13,10,15,8,3,9,14
